Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT r.Title FROM film AS r WHERE  r.Film_ID < 33 ORDER BY r.Title ASC
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Name, Location FROM schedule JOIN cinema ON schedule.Cinema_ID = cinema.Cinema_ID WHERE Price BETWEEN 1 AND 10 AND  Film_ID = 19 ORDER BY Name DESC LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(a.Film_ID), COUNT(DISTINCT a.Number_in_season), COUNT(DISTINCT a.Film_ID) FROM film AS a WHERE  a.Rank_in_series < 80"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Production_code FROM schedule JOIN cinema JOIN film ON schedule.Cinema_ID = cinema.Cinema_ID AND film.Film_ID = schedule.Film_ID ORDER BY Production_code DESC
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(Price), Date, Rank_in_series FROM schedule JOIN film ON film.Film_ID = schedule.Film_ID WHERE Original_air_date NOT IN (SELECT Original_air_date FROM film) GROUP BY Rank_in_series ORDER BY Date ASC LIMIT 2"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT Cinema_ID) FROM schedule JOIN film ON film.Film_ID = schedule.Film_ID WHERE  Number_in_season >= 15 LIMIT 7
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Location, Location FROM cinema WHERE  Capacity = 35 LIMIT 4"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT Film_ID) FROM schedule WHERE  Film_ID > 64 LIMIT 8
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'agg_exp', 'agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(Number_in_season), SUM(Show_times_per_day), SUM(Price) FROM schedule JOIN film ON film.Film_ID = schedule.Film_ID WHERE  Number_in_season > 73"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT Capacity) FROM schedule JOIN cinema ON schedule.Cinema_ID = cinema.Cinema_ID WHERE  schedule.Cinema_ID >= 30
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(Film_ID), Rank_in_series FROM film WHERE Number_in_season BETWEEN 1 AND 10 AND  Rank_in_series <= 70 ORDER BY Rank_in_series DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT d.Original_air_date, d.Production_code FROM film AS d WHERE  d.Film_ID < 81 ORDER BY d.Original_air_date ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Cinema_ID), Location FROM cinema WHERE  Cinema_ID != 70 OR EXISTS (SELECT * FROM schedule WHERE Film_ID BETWEEN 1 AND 10 AND  Cinema_ID >= 80 AND cinema.Cinema_ID = Cinema_ID) GROUP BY Location HAVING COUNT(Openning_year) > 52"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Name FROM schedule JOIN cinema ON schedule.Cinema_ID = cinema.Cinema_ID
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Rank_in_series FROM schedule JOIN cinema JOIN film ON schedule.Cinema_ID = cinema.Cinema_ID AND film.Film_ID = schedule.Film_ID WHERE Price NOT IN (SELECT Price FROM schedule WHERE Show_times_per_day BETWEEN 1 AND 10 AND  Cinema_ID != 99)
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Price FROM schedule WHERE Show_times_per_day BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM cinema WHERE  Capacity = 68 AND schedule.Cinema_ID = Cinema_ID LIMIT 7)
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'not_exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Directed_by FROM schedule JOIN cinema JOIN film ON schedule.Cinema_ID = cinema.Cinema_ID AND film.Film_ID = schedule.Film_ID WHERE EXISTS (SELECT * FROM schedule WHERE Price BETWEEN 1 AND 10 AND film.Film_ID = Film_ID)
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT cinema.Name FROM cinema AS u JOIN cinema ON cinema.Cinema_ID = u.Cinema_ID WHERE  cinema.Capacity = 8 LIMIT 10
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT q.Openning_year FROM cinema AS q JOIN cinema ON cinema.Cinema_ID = q.Cinema_ID WHERE Name NOT IN (SELECT Name FROM cinema AS b) ORDER BY q.Openning_year ASC
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT Show_times_per_day) FROM schedule WHERE  Price = 8
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(c.Openning_year), COUNT(DISTINCT c.Capacity) FROM cinema AS c WHERE  c.Cinema_ID = 61"
