sql,hardness
"SELECT Name, Age FROM director WHERE  Director_ID < 44 GROUP BY Age ORDER BY Age ASC",hard
SELECT u.Title FROM program AS u WHERE Program_ID > (SELECT MAX(Program_ID) FROM program WHERE Channel_ID BETWEEN 1 AND 10) ORDER BY u.Title DESC,extra
"SELECT MIN(k.Channel_ID), k.Title FROM program AS k WHERE  k.Program_ID > 85 OR Program_ID IN (SELECT Program_ID FROM program AS t WHERE t.Start_Year BETWEEN 1 AND 10 OR  t.Director_ID >= 9 LIMIT 1) GROUP BY k.Title",extra
SELECT Digital_terrestrial_channel FROM channel WHERE  Channel_ID >= 51 OR EXISTS (SELECT * FROM program AS q WHERE q.Channel_ID BETWEEN 1 AND 10 AND channel.Channel_ID = q.Channel_ID LIMIT 1) ORDER BY Digital_terrestrial_channel DESC LIMIT 7,extra
"SELECT channel.Name, Digital_terrestrial_channel, Title FROM channel JOIN director_admin JOIN program JOIN director ON program.Channel_ID = channel.Channel_ID AND channel.Channel_ID = director_admin.Channel_ID AND director.Director_ID = program.Director_ID AND director_admin.Director_ID = director.Director_ID WHERE  Program_ID <= 35 GROUP BY Title ORDER BY channel.Name DESC",extra
"SELECT COUNT(t.Channel_ID), channel.Name FROM channel JOIN channel AS t ON channel.Channel_ID = t.Channel_ID WHERE  channel.Channel_ID = 76 OR EXISTS (SELECT * FROM director_admin AS p WHERE  p.Channel_ID < 25 AND channel.Channel_ID = p.Channel_ID) GROUP BY channel.Name",extra
"SELECT AVG(h.Channel_ID), h.Director_ID FROM program AS h WHERE  h.Channel_ID <= 74 ORDER BY h.Director_ID DESC LIMIT 2",hard
"SELECT d.Analogue_terrestrial_channel, channel.Digital_terrestrial_channel FROM channel JOIN channel AS d ON channel.Channel_ID = d.Channel_ID WHERE Analogue_terrestrial_channel < (SELECT MIN(Analogue_terrestrial_channel) FROM channel AS k WHERE  k.Channel_ID = 34) GROUP BY channel.Digital_terrestrial_channel ORDER BY channel.Digital_terrestrial_channel DESC",extra
SELECT MIN(Channel_ID) FROM director_admin WHERE Channel_ID BETWEEN 1 AND 10 AND  Channel_ID = 49 LIMIT 7,medium
SELECT MAX(director.Age) FROM director AS b JOIN director ON director.Director_ID = b.Director_ID WHERE  b.Director_ID >= 44,medium
SELECT Channel_ID FROM channel WHERE  Channel_ID <= 78 ORDER BY Channel_ID ASC,medium
"SELECT o.Director_ID, o.Channel_ID, o.Is_first_director FROM director_admin AS o WHERE o.Channel_ID BETWEEN 1 AND 10 AND Channel_ID NOT IN (SELECT Channel_ID FROM channel WHERE  Channel_ID <= 61) GROUP BY o.Is_first_director ORDER BY o.Channel_ID DESC",extra
"SELECT u.Internet, u.Internet FROM channel AS u WHERE  u.Channel_ID < 65 ORDER BY u.Internet DESC",medium
